COMPONENT_STRING,COMPONENT_LABEL,COMPONENT_DESCRIPTION,API_SHORT_NAME,PROGRAM_STRING,PROGRAM_LABEL,FREQUENCY,FREQUENCY_NOTES,PROGRAM_DESCRIPTION
ACSDT3Y,Detailed Tables 3-Year,"ACS 3-Year Detailed Tables (B/C-series) pooled data collected over three consecutive years to produce estimates for areas with 20,000+ population, including counties and places too small for 1-year reliability. Discontinued after the 2013 (2011-2013) release.",acs/acs3,ACS,American Community Survey,triennial,3-year estimates series discontinued after 2013.,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSCD113,1-Year Data Profile CD113,"ACS 1-Year Data Profiles for the 113th Congressional Districts provide the four standard DP-series tables (social, economic, housing, demographic) tailored to each of the 435 congressional districts as defined for the 113th Congress.",acs/acs1/cd113,ACS,American Community Survey,annual,Data aligned to 113th Congressional District boundaries.,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSCD115,1-Year Data Profile 115th Congressional District,"ACS 1-Year Data Profiles for the 115th Congressional Districts provide the four standard DP-series tables (social, economic, housing, demographic) tailored to each of the 435 congressional districts as defined for the 115th Congress.",acs/acs1/cd115,ACS,American Community Survey,annual,Data aligned to 115th Congressional District boundaries.,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSDT1Y,Detailed Tables 1-Year,"ACS 1-Year Detailed Tables (B/C-series) are the most granular ACS pre-tabulated product, offering 31,000+ cross-tabulations of demographic, social, economic, and housing characteristics. Published for areas with 65,000+ population: nation, all states, DC, Puerto Rico, congressional districts, metro areas, and qualifying counties and places.",acs/acs1,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSDP5Y,Data Profiles 5-Year,"ACS 5-Year Data Profiles (DP-series, 4 tables) provide broad social, economic, housing, and demographic summaries as both counts and percentages. Available for all geographies down to the census tract level, with 2,400+ variables. The most widely used ACS product for local-area planning and research.",acs/acs5/profile,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSFLOWS,5-Year Migration Flows,"ACS 5-Year Migration Flows derive county-level migration statistics from the ACS 'Where did you live 1 year ago?' question. The dataset provides flow estimates between state/world-region origins and current county of residence, plus supplemental geographic mobility statistics (nonmovers, inter-state movers, arrivals from abroad) for each county.",acs/flows,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSDP5YSPT,Selected Population Data Profiles 5-Year,"ACS 5-Year Selected Population Data Profiles provide DP-style summary tables for detailed race, Hispanic origin, tribal, and ancestry population groups. Released every five years for areas with sufficient group population size.",acs/acs5/sptprofile,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSPUMS1Y,Public Use Microdata Sample,ACS 1-Year Public Use Microdata Sample (PUMS) contains individual-level (person and housing unit) records representing approximately 1% of the U.S. population-with all identifying information removed. Enables custom tabulations not available in pre-tabulated products. Available at the state and Public Use Microdata Area (PUMA) levels.,acs/acs1/pums,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSDT5YSPT,Selected Population Detailed Tables 5-Year,"ACS 5-Year Selected Population Detailed Tables (SPT) provide the full range of B/C-series cross-tabulations for detailed race, Hispanic origin, tribal, and ancestry groups. Released every five years, they allow analysis of smaller population subgroups that cannot support estimates in standard detailed tables.",acs/acs5/spt,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSDP5YAIAN,American Indian and Alaska Native Data Profiles 5-Year,ACS 5-Year American Indian and Alaska Native (AIAN) Data Profiles provide DP-style summaries for tribal populations using more detailed tribal categories than standard SPT products. Released every five years.,acs/acs5/aianprofile,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSDT5YAIAN,American Indian and Alaska Native Detailed Tables 5-Year,"ACS 5-Year American Indian and Alaska Native (AIAN) Detailed Tables provide B/C-series cross-tabulations specifically for tribal populations, using more granular tribal categories than those available in the standard Selected Population Tables. Released every five years.",acs/acs5/aian,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSST5Y,Subject Tables 5-Year,"ACS 5-Year Subject Tables (S-series) provide topic-organized summaries (e.g., poverty, language, commuting) as both counts and percentages for all geographies down to the census tract. With 66,000+ variables, they offer a middle ground between data profiles and detailed tables.",acs/acs5/subject,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSSPP3Y,Selected Population Profiles 3-Year,"ACS 3-Year Selected Population Profiles (SPP) provide social, economic, and housing summaries for detailed population groups in areas with 20,000+ population. Discontinued after the 2013 (2011-2013) release.",acs/acs3/spp,ACS,American Community Survey,triennial,3-year estimates series discontinued after 2013.,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSPUMS5YPR,Puerto Rico Public Use Microdata Sample,"Puerto Rico Community Survey (PRCS) 5-Year PUMS pools five years of PRCS records, representing approximately 5% of Puerto Rico's population. Separate from the national ACS PUMS (state FIPS 72), it supports custom analyses at the state and PUMA levels for smaller Puerto Rico subpopulations.",acs/acs5/pumspr,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSEEO5Y,Equal Employment Opportunity 5-Year,"ACS 5-Year Equal Employment Opportunity (EEO) Tabulation cross-tabulates detailed occupation by sex, race, Hispanic origin, and educational attainment for the civilian employed population. Produced jointly with the EEOC, OFCCP, and OPM to support civil rights enforcement and workforce analysis. Available at multiple geography levels.",acs/acs5/eeo,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSDIMCUBE1Y,Detailed Tables 1-Year,Experimental ACS 1-Year Dimensional Cube Demonstration explores a multidimensional data model for delivering ACS detailed table estimates. This prototype format is not a production data product and is intended for evaluation of alternative API delivery methods.,acs/acsdimcube1,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSDP1Y,Data Profiles 1-Year,"ACS 1-Year Data Profiles (DP-series, 4 tables) summarize the most widely used social, economic, housing, and demographic estimates for a single geography. Presenting data as both counts and percentages, they cover 2,400+ variables for areas with 65,000+ population.",acs/acs1/profile,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
ACSPUMS5Y,Public Use Microdata Sample,ACS 5-Year Public Use Microdata Sample (PUMS) pools five 1-year PUMS files to represent approximately 5% of the U.S. population. Individual person and housing unit records (with identifiers removed) allow custom analyses. Available at the state and PUMA levels. Larger sample enables estimates for smaller subpopulations than the 1-year PUMS.,acs/acs5/pums,ACS,American Community Survey,annual,,"Annual household survey covering demographics, income, education, housing, and commuting for all U.S. geographies. The primary source for small-area socioeconomic estimates between decennial censuses."
CPSBASIC,Basic Monthly,"CPS Basic Monthly Survey is the core labor force survey conducted each month for approximately 60,000 households. It produces the official national unemployment rate and major employment statistics (employed, unemployed, not in labor force) by demographic characteristics.",cps/basic,CPS,Current Population Survey,monthly,,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSASEC,Annual Social and Economic (March) Supplement,"CPS Annual Social and Economic (ASEC/March) Supplement is the source for official national poverty statistics and median household income. Collected annually in March from an expanded sample (~100,000 households), it covers prior-year income, health insurance, and poverty status in detail.",cps/asec,CPS,Current Population Survey,annual,,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSVOTING,Voting Supplement,"CPS Voting and Registration Supplement collects self-reported voter registration and voting participation data after major federal elections, providing the source for official estimates of voter turnout by age, sex, race, citizenship, and education.",cps/voting,CPS,Current Population Survey,biennial,Fielded in November of even-numbered years following national elections; collected since 1964.,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSFOODSECURITY,Food Security Supplement,"CPS Food Security Supplement measures household-level food security status and hunger using a validated scale. Administered annually in December, it is the source for official USDA national and state food insecurity estimates.",cps/foodsec,CPS,Current Population Survey,annual,,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSTOBACCOUSE,Tobacco Use Supplement,"CPS Tobacco Use Supplement (TUS-CPS) is the primary source of national and state-level data on cigarette, cigar, and smokeless tobacco use for adults. Conducted three times per two-year cycle, it supports public health surveillance and tobacco control policy.",cps/tobacco,CPS,Current Population Survey,biennial,Fielded in odd-numbered years on a biennial basis; sponsored by the National Cancer Institute.,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSSCHOOL,School Enrollment Supplement,"CPS School Enrollment Supplement collects detailed data on enrollment status, school type (public/private), and grade level for the population 3 years and older. Fielded annually in October, it is the source for official school enrollment estimates.",cps/school,CPS,Current Population Survey,triennial,,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSVOLUNTEER,Volunteering and Civic Life Supplement,"CPS Volunteering and Civic Life Supplement measures formal volunteering through organizations, informal helping activities, and civic engagement behaviors (e.g., attending community meetings). Fielded annually through a partnership with AmeriCorps.",cps/volunteer,CPS,Current Population Survey,annual,,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSVETS,Veterans Supplement,"CPS Veterans Supplement collects detailed data on military service history, period of service, disability status, and service-connected disabilities for the veteran population. Fielded periodically in August.",cps/vets,CPS,Current Population Survey,periodic,Fielded periodically with no fixed recurrence; sponsor-driven scheduling.,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSMARITAL,Fertility and Marital History Supplement,"CPS Fertility and Marital History Supplement (combined) collects information on marriage and divorce history alongside birth history, enabling analysis of family formation patterns and their relationship to fertility.",cps/marital,CPS,Current Population Survey,periodic,Fielded periodically; combined fertility and marital history content has varied across collection years.,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSDISWORKJOBTEN,"Displaced Worker, Employee Tenure, and Occupational Mobility Supplement","CPS Displaced Worker, Employee Tenure, and Occupational Mobility Supplement covers job loss due to plant closings or layoffs (displaced workers), length of time with current employer (tenure), and occupational change. Fielded biennially in January.",cps/dwjt,CPS,Current Population Survey,biennial,Biennial supplement fielded in odd-numbered years.,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSFERTILITY,Fertility Supplement,"CPS Fertility Supplement collects data on birth history, expected future births, and childlessness for women aged 15-50. Fielded periodically in June, it is used to estimate lifetime fertility rates and understand childbearing patterns.",cps/fertility,CPS,Current Population Survey,periodic,Fielded periodically in June; collection years not contiguous.,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSIMMIGRATION,Immigration/Emigration Supplement,"CPS Immigration/Emigration Supplement collects detailed data on immigration history, year of entry, and emigration intentions for the foreign-born population. Used to study immigrant integration and population dynamics.",cps/immigration,CPS,Current Population Survey,periodic,Fielded periodically with no fixed recurrence; sponsor-driven scheduling.,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSUNBANKED,Unbanked/Underbanked Supplement,CPS Unbanked/Underbanked Supplement (conducted for the FDIC) measures household access to mainstream banking services-checking/savings accounts-and use of alternative financial services. It is the source for the FDIC's biennial National Survey of Unbanked and Underbanked Households.,cps/unbank,CPS,Current Population Survey,biennial,,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSINTERNET,Computer and Internet Use Supplement,"CPS Computer and Internet Use Supplement collects data on household computer ownership and internet access by connection type, speed, and device, along with individual-level internet use patterns. Key source for digital divide measurement.",cps/internet,CPS,Current Population Survey,biennial,"Fielded biennially since 2013; prior to 2013 collected sporadically (1984, 1989, 1993, 1997, 2000–2003, 2007–2012).","Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSDISABILITY,Disability Supplement,"CPS Disability Supplement collects detailed disability status information including type of disability, severity, and work limitations, enabling analysis of labor force participation and economic well-being for the disabled population.",cps/disability,CPS,Current Population Survey,periodic,Fielded on an irregular basis; not a recurring supplement. Most recent standalone collection was May 2012.,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
CPSCIVICENGAGE,Civic Engagement Supplement,"CPS Civic Engagement Supplement measures participation in community and civic activities beyond formal volunteering, such as attending public meetings, contacting officials, and participating in neighborhood groups.",cps/civic,CPS,Current Population Survey,annual,Fielded annually in September since 2021 (in partnership with AmeriCorps); prior collections in 2008–2011 and 2013 were irregular.,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
POVERTY,Time Series Current Population Survey: Poverty Status,"CPS Historical Poverty Time Series provides long-running national poverty statistics derived from the Current Population Survey ASEC supplement. Data span back to the 1960s and track poverty rates by family type, race, age, and other characteristics over time.",timeseries/poverty/histpov2,CPS,Current Population Survey,annual,,"Monthly labor force survey providing official U.S. unemployment statistics. Supplemental topics include health insurance, poverty, voting, school enrollment, and food security."
PEPPOP,Population Estimates,"Population Estimates Program (PEP) Population Estimates provide annually updated resident population counts for the nation, states, counties, and places. These are the Census Bureau's official intercensal estimates, produced using the cohort-component method combining birth, death, and migration data.",pep/population,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPNATMONTHLY,National Monthly Population,"PEP National Monthly Population provides a simplified monthly total resident population series for the nation, supporting high-frequency population tracking between annual estimate releases.",pep/natmonthly,PEP,Population Estimates,monthly,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPMONTHLYNATCHAR5,"National Monthly Population Estimates by Single Year of Age, Sex, 5 Races, Hispanic Origin, and Universe","PEP National Monthly Population Estimates by Single Year of Age, Sex, 5 Races, Hispanic Origin, and Universe provide sub-annual (monthly) national demographic estimates-useful for tracking rapid population changes or reconciling with vital statistics data.",pep/monthlynatchar5,PEP,Population Estimates,monthly,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPMONTHLYNATCHAR6,"National Monthly Population Estimates by Single Year of Age, Sex, 6 Races, Hispanic Origin, and Universe","PEP National Monthly Population Estimates by Single Year of Age, Sex, 6 Races, Hispanic Origin, and Universe are the 6-race counterpart to PEPMONTHLYNATCHAR5, providing monthly national demographic estimates with added NHOPI race detail.",pep/monthlynatchar6,PEP,Population Estimates,monthly,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPUSDAILY,US Daily Population and Components of Change Increments,"PEP U.S. Daily Population and Components of Change Increments provide daily estimates of the national resident population and its incremental changes from births, deaths, and net migration-used for real-time population clock applications.",pep/daily,PEP,Population Estimates,daily,Daily increments published during intercensal periods only; not available during active decennial collection.,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPAGESEX,National Annual Resident Population Estimates by Single Year of Age and Sex,"PEP National Annual Resident Population Estimates by Single Year of Age and Sex provide fine-grained age-sex distributions for the national resident population for each year between censuses, supporting life-table calculations, program eligibility modeling, and demographic analysis.",pep/agesex,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPCTY,County Total Population and Components of Change,"PEP County Total Population and Components of Change estimates provide annual resident population counts and the four components of change (births, deaths, net domestic migration, net international migration) for every U.S. county.",pep/cty,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPCOCHAR5,"County Population Estimates by 5 Year Age Groups, Sex, 5 Races, and Hispanic Origin","PEP County Population Estimates by 5-Year Age Groups, Sex, 5 Races, and Hispanic Origin provide detailed annual demographic breakdowns at the county level, using a 5-race classification (White, Black, AIAN, Asian, NHOPI). Used for program planning and civil rights compliance.",pep/cochar5,PEP,Population Estimates,annual,Uses 5-year age groupings for county-level detail; annual release cadence.,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPCOCHAR6,"County Population Estimates by 5 Year Age Groups, Sex, 6 Races, and Hispanic Origin","PEP County Population Estimates by 5-Year Age Groups, Sex, 6 Races, and Hispanic Origin provide annual county-level demographic breakdowns using a 6-race classification that adds Native Hawaiian and Other Pacific Islander as a separate category. Supports detailed minority population analyses.",pep/cochar6,PEP,Population Estimates,annual,Uses 5-year age groupings for county-level detail; annual release cadence.,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPSTCHAR5,"State Population Estimates by Single Year of Age, Sex, 5 Races, and Hispanic Origin","PEP State Population Estimates by Single Year of Age, Sex, 5 Races, and Hispanic Origin provide detailed annual demographic breakdowns at the state level using single-year age groups and a 5-race classification.",pep/stchar5,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPSTCHAR6,"State Population Estimates by Single Year of Age, Sex, 6 Races, and Hispanic Origin","PEP State Population Estimates by Single Year of Age, Sex, 6 Races, and Hispanic Origin provide detailed annual demographic breakdowns at the state level using single-year age groups and a 6-race classification.",pep/stchar6,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPAGESPECIAL5,"National, State, County Annual Resident Population Estimates by Age Groups, Sex, 5 Races, and Hispanic Origin","PEP National/State/County Annual Resident Population Estimates by Age Groups, Sex, 5 Races, and Hispanic Origin provide cross-tabulated demographic estimates across multiple geography levels in a single combined file using 5-race classification.",pep/agespecial5,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPAGESPECIAL6,"National, State, County Annual Resident Population Estimates by Age Groups, Sex, 6 Races, and Hispanic Origin","PEP National/State/County Annual Resident Population Estimates by Age Groups, Sex, 6 Races, and Hispanic Origin provide cross-tabulated demographic estimates across multiple geography levels in a single combined file using 6-race classification.",pep/agespecial6,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPAGESPECIALPR,Puerto Rico Commonwealth and Municipios Annual Resident Population Estimates by Age Groups and Sex,PEP Puerto Rico Commonwealth and Municipios Annual Resident Population Estimates by Age Groups and Sex provide a combined file covering both territory-wide and municipio-level annual demographic estimates for Puerto Rico.,pep/agespecialpr,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPPRCAGESEX,Puerto Rico Commonwealth Estimates by Single Year of Age and Sex,"PEP Puerto Rico Commonwealth Estimates by Single Year of Age and Sex provide fine-grained annual age-sex breakdowns for Puerto Rico's total resident population, supporting actuarial, demographic, and program planning analyses for the territory.",pep/prcagesex,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPPRMAGESEX,Puerto Rico Municipios Estimates by 5-Year Age Groups and Sex,"PEP Puerto Rico Municipios Estimates by 5-Year Age Groups and Sex provide annual demographic breakdowns for each of Puerto Rico's 78 municipios, enabling sub-territorial age-sex analyses.",pep/prmagesex,PEP,Population Estimates,annual,Uses 5-year age groupings for municipio-level detail; annual release cadence.,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPPRM,Puerto Rico Municipios Total Population,"PEP Puerto Rico Municipios Total Population estimates provide annual resident population counts for each of Puerto Rico's 78 municipios, the primary administrative subdivisions of the territory.",pep/prm,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPSUBCTY,Subcounty Population Places and MCDs,"PEP Subcounty Population Estimates cover all legally incorporated places and minor civil divisions (MCDs), providing annual resident population counts below the county level for cities, towns, villages, and townships.",pep/subcty,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPHOUSING,"Housing Unit Estimates for US, States, and Counties","PEP Housing Unit Estimates provide annual counts of total housing units for the nation, states, and counties, estimated from building permits, demolitions, and other administrative data. Distinct from occupied/vacant measures in the ACS or census.",pep/housing,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPNATSTPRC,"US, State, and PR Total Population and Components of Change","PEP national, state, and Puerto Rico total population and components of change estimates break down annual population change into births, deaths, net domestic migration, and net international migration for the nation, each state, and Puerto Rico.",pep/natstprc,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPNATSTPRC18,"US, State, and PR Population Age 18+","PEP national, state, and Puerto Rico population age 18 and older estimates provide annual counts of the adult resident population-used for apportionment, program planning, and electoral analyses.",pep/natstprc18,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPCHARAGE,"Estimates by Age, Sex, Race, and Hispanic Origin","PEP Estimates by Age, Sex, Race, and Hispanic Origin combine detailed demographic dimensions (single-year age, sex, race, Hispanic origin) into a unified file spanning national, state, and county geographies.",pep/charage,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
